Einsatzort	PLZ	Qualifikation	Qualifikationgruppe	Schicht	Tag	Wochentag	Feiertag	Mitarbeiter ID
1524	92.0	91	2.0	1	2019-03-07	Thu	False	[40570]
2352	92.0	81	10.0	2	2017-04-23	Sun	False	[23211 23465]
1379	126.0	84	10.0	1	2016-08-26	Fri	False	[21384 17973 23323]
1422	123.0	201	2.0	2	2018-04-15	Sun	False	[29645 33752]
334	102.0	148	2.0	2	2018-12-15	Sat	False	[32809 33651 34543 34585 34832 35732]
1491	123.0	48	2.0	2	2016-12-05	Mon	False	[20074 23515]
1865	92.0	201	2.0	1	2018-07-23	Mon	False	[35309]
2589	153.0	148	2.0	1	2017-01-21	Sat	False	[21313]
617	92.0	212	10.0	1	2016-07-29	Fri	False	[17947 17076 22296 18311]
312	67.0	123	2.0	2	2020-01-01	Wed	True	[43980 47722]
1032	149.0	93	2.0	1	2014-02-21	Fri	False	[2085]
725	19.0	25	2.0	0	2014-07-29	Tue	False	[1096 4723 7704]
971	98.0	148	2.0	2	2018-08-09	Thu	False	[35335]
1974	131.0	81	10.0	1	2017-05-28	Sun	False	[24822 26088 23940]
2716	160.0	25	2.0	2	2018-01-30	Tue	False	[31375]
870	92.0	71	10.0	2	2014-06-30	Mon	False	[2105]
2097	92.0	110	2.0	2	2014-12-06	Sat	False	[7252]
1355	92.0	212	10.0	1	2015-02-10	Tue	False	[5279]
1074	98.0	91	2.0	2	2013-10-23	Wed	False	[248 858 423 133]
803	131.0	153	2.0	2	2018-12-24	Mon	False	[32677 35305 32642 40184 35145 32533]
2721	27.0	201	2.0	2	2015-12-19	Sat	False	[14212]
2422	0.0	26	2.0	1	2018-03-14	Wed	False	[28828 29741 31331 31429 32646 33239]
2054	126.0	91	2.0	2	2018-07-12	Thu	False	[36608]
1338	134.0	91	2.0	2	2013-08-24	Sat	False	[485 270]
988	117.0	123	2.0	1	2014-08-22	Fri	False	[2764 4910]
333	58.0	25	2.0	1	2017-08-07	Mon	False	[22660 30039]
88	63.0	26	2.0	1	2014-01-29	Wed	False	[  39 2271 2683]
2352	92.0	82	10.0	2	2015-05-20	Wed	False	[ 8559 11190]
2434	119.0	155	2.0	2	2016-08-07	Sun	False	[16711 21579 20729]
2563	92.0	103	2.0	1	2015-02-21	Sat	False	[6332]
859	123.0	108	2.0	0	2016-10-18	Tue	False	[24075]
2777	92.0	26	2.0	1	2014-11-10	Mon	False	[10050]
20	63.0	84	10.0	1	2017-06-22	Thu	False	[28166]
1945	131.0	25	2.0	2	2014-12-14	Sun	False	[5851 2708 8594 5405]
1000	98.0	201	2.0	2	2016-03-30	Wed	False	[18119 18408]
2540	92.0	93	2.0	1	2020-08-15	Sat	False	[49104 49089]
1936	92.0	123	2.0	2	2015-12-01	Tue	False	[10879 12342 12795 13476 15065 17135]
961	92.0	148	2.0	2	2014-07-23	Wed	False	[1985]
645	124.0	91	2.0	2	2015-12-30	Wed	False	[18703]
1759	124.0	201	2.0	2	2016-09-23	Fri	False	[23554]
891	126.0	84	10.0	2	2019-04-22	Mon	True	[36117 35265 39483 34912]
649	125.0	103	2.0	2	2017-07-21	Fri	False	[23207]
251	124.0	115	10.0	1	2017-07-05	Wed	False	[27151]
256	92.0	148	2.0	1	2019-07-31	Wed	False	[38101 41591 44117]
1018	68.0	148	2.0	1	2018-02-10	Sat	False	[28212 29383 30207 30302 30759]
2675	131.0	148	2.0	1	2019-12-08	Sun	False	[40706 41206 41325 41898 42223 43389]
1092	92.0	205	2.0	2	2015-08-26	Wed	False	[9800]
1128	63.0	169	2.0	2	2018-06-02	Sat	False	[31089]
82	131.0	22	2.0	2	2020-02-07	Fri	False	[46038 41371]
2581	27.0	143	10.0	2	2015-06-03	Wed	False	[7449]
2038	27.0	0	2.0	2	2017-06-25	Sun	False	[27057 24931 27099 24634 27421 26736]
2405	27.0	164	2.0	1	2016-11-02	Wed	False	[23992 21876 17908 22772 17573]
613	70.0	91	2.0	2	2018-07-13	Fri	False	[29787 29980 30525 31318 34737 35137]
331	126.0	24	2.0	2	2015-07-15	Wed	False	[12738]
286	126.0	103	2.0	2	2018-07-01	Sun	False	[32755 31725 33984 29689 35739]
2001	0.0	205	2.0	1	2017-07-15	Sat	False	[24486 29203]
645	124.0	205	2.0	2	2019-10-29	Tue	False	[39886 40340 40740 46328]
1171	72.0	143	10.0	2	2018-08-24	Fri	False	[30448]
194	131.0	24	2.0	0	2016-08-03	Wed	False	[18414]
925	131.0	91	2.0	2	2015-04-08	Wed	False	[ 4851  5629 10047 10060 12094 12324]
2038	27.0	147	2.0	2	2020-03-15	Sun	False	[47364 47468]
519	92.0	123	2.0	2	2015-02-20	Fri	False	[10851]
782	112.0	205	2.0	2	2017-09-12	Tue	False	[25273 28404]
2352	92.0	123	2.0	1	2019-01-25	Fri	False	[32838 36557 38000 39114 39918]
64	92.0	103	2.0	1	2019-03-15	Fri	False	[34404 40820]
1225	126.0	71	10.0	1	2015-01-22	Thu	False	[6044 7177 3566]
1638	98.0	205	2.0	2	2020-06-28	Sun	False	[49991]
1257	92.0	26	2.0	1	2016-07-01	Fri	False	[16737 17364]
148	102.0	48	2.0	1	2019-01-08	Tue	False	[36952 34833]
757	92.0	193	10.0	1	2015-03-02	Mon	False	[6182]
803	131.0	82	10.0	1	2019-05-02	Thu	False	[40817 43251]
1782	123.0	148	2.0	2	2013-09-08	Sun	False	[528]
1865	92.0	48	2.0	1	2019-06-06	Thu	False	[35907 41120]
333	58.0	71	10.0	2	2019-05-13	Mon	False	[37337]
435	160.0	81	10.0	2	2016-02-12	Fri	False	[12328 16749 17629 17719]
930	88.0	81	10.0	2	2020-03-02	Mon	False	[42184 42960 44651 45176 49493]
1338	134.0	206	2.0	1	2015-01-02	Fri	False	[4324]
79	43.0	148	2.0	2	2015-01-19	Mon	False	[3234 3235 5003 5055 5181 5233]
478	92.0	82	10.0	2	2014-02-05	Wed	False	[2467]
613	70.0	25	2.0	2	2018-12-09	Sun	False	[33388 35255]
2262	148.0	81	10.0	2	2013-09-22	Sun	False	[1257  641  531]
1936	92.0	148	2.0	2	2014-12-15	Mon	False	[2644 3815 4248 6438 7162 7531]
1005	72.0	91	2.0	1	2016-06-25	Sat	False	[18171 20282 17068 16020]
2010	19.0	123	2.0	2	2015-07-07	Tue	False	[ 7328 14981]
2598	131.0	107	10.0	2	2019-12-10	Tue	False	[45874 42487 46267 45276 43559 43220]
2391	92.0	205	2.0	2	2016-03-07	Mon	False	[18843]
1825	19.0	81	10.0	1	2019-02-04	Mon	False	[33829]
1453	126.0	91	2.0	2	2013-12-07	Sat	False	[2440]
1195	17.0	25	2.0	2	2017-12-12	Tue	False	[30930]
2113	121.0	82	10.0	2	2014-06-20	Fri	False	[917]
2467	92.0	25	2.0	2	2015-03-30	Mon	False	[7402]
1257	92.0	74	2.0	2	2016-03-09	Wed	False	[13427]
961	92.0	133	2.0	2	2014-11-02	Sun	False	[4913 2820]
318	126.0	143	10.0	1	2016-06-08	Wed	False	[14036 14876 17063 18810]
1374	92.0	212	10.0	2	2020-08-25	Tue	False	[49478]
2683	63.0	193	10.0	1	2014-09-29	Mon	False	[3883  927 6024]
1899	153.0	148	2.0	1	2014-05-31	Sat	False	[5010 5138]
1519	63.0	81	10.0	2	2020-07-03	Fri	False	[44452 48566]
468	92.0	205	2.0	2	2016-01-23	Sat	False	[11647 12525 13763 15558 16199 16313]
925	131.0	84	10.0	2	2014-11-21	Fri	False	[ 7206 10187]
1868	65.0	26	2.0	1	2016-07-24	Sun	False	[19941]
1748	160.0	82	10.0	1	2016-10-26	Wed	False	[24430 24418]
1225	126.0	167	2.0	2	2020-07-19	Sun	False	[45221]
79	43.0	91	2.0	2	2020-03-10	Tue	False	[43000 43234 43271 44032 44896]
2278	153.0	26	2.0	1	2014-08-22	Fri	False	[7125]
516	74.0	74	2.0	1	2014-10-12	Sun	False	[1589]
